name,CAT,NOTA,TE,TG,TR,UP,USE,name_stemmed
CORTE ESTADUAL,['DCT DIREITO CONSTITUCIONAL'],,,,['JUSTIÇA ESTADUAL'],,,cort estad
COSTA BRASILEIRA,['DCT DIREITO CONSTITUCIONAL'],,,,"['FAIXA LITORÂNEA', 'ILHA COSTEIRA', 'MAR TERRITORIAL', 'PATRIMÔNIO NACIONAL']",,,cost brasil
CRÉDITO DE NATUREZA ALIMENTÍCIA,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Veja art. 33 e art. 100, ""caput"", da Constituição Federal.
",,CRÉDITO,"['CORREÇÃO MONETÁRIA', 'DIREITO DE PRECEDÊNCIA', 'HONORÁRIOS ADVOCATÍCIOS', 'JUROS', 'NATUREZA ALIMENTAR', 'PAGAMENTO', 'PRECATÓRIO', 'PRECATÓRIO ALIMENTAR', 'PRECATÓRIO COMPLEMENTAR']",,,credit de natur alimentic
CRÉDITO-PRÊMIO,"['DCT DIREITO CONSTITUCIONAL', 'DEC DIREITO ECONÔMICO', 'DTR DIREITO TRIBUTÁRIO']",,,,"['EXPORTADOR', 'IMPOSTO SOBRE PRODUTOS INDUSTRIALIZADOS (IPI)', 'INCENTIVO FISCAL SETORIAL']",CRÉDITO PRÊMIO,,credito-premi
CRENÇA,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Veja art. 231, ""caput"", da Constituição Federal.
",CRENÇA RELIGIOSA,,,,,crenc
CRENÇA RELIGIOSA,['DCT DIREITO CONSTITUCIONAL'],,,CRENÇA,"['CULTO RELIGIOSO', 'IGREJA', 'RELIGIÃO']",,,crenc religi
CULTO RELIGIOSO,['DCT DIREITO CONSTITUCIONAL'],,,,"['CRENÇA RELIGIOSA', 'RELIGIÃO']",,,cult religi
AGRICULTURA,['NOC NOMES COMUNS'],"

NOTA
Atividade produtora rural de vegetais úteis ao homem ou para alimentação animal.
",,,"['ADUBO', 'AGROPECUÁRIA', 'CANCRO CÍTRICO', 'RAÇÃO ANIMAL']",,,agricult
CONFEDERAÇÃO NACIONAL DA AGRICULTURA,['INS INSTITUIÇÕES'],,,,,,CONFEDERAÇÃO NACIONAL DA AGRICULTURA (CNA),confeder nacion da agricult
CONFEDERAÇÃO NACIONAL DA AGRICULTURA (CNA),['INS INSTITUIÇÕES'],,,,,CNA,,confeder nacion da agricult (cna)
CONFEDERAÇÃO NACIONAL DE TRABALHADORES NA AGRICULTURA,['INS INSTITUIÇÕES'],,,,,,CONFEDERAÇÃO NACIONAL DE TRABALHADORES NA AGRICULTURA (CONTAG),confeder nacion de trabalh na agricult
CONFEDERAÇÃO NACIONAL DE TRABALHADORES NA AGRICULTURA (CONTAG),['INS INSTITUIÇÕES'],,,,,CONFEDERAÇÃO NACIONAL DE TRABALHADORES NA AGRICULTURA,,confeder nacion de trabalh na agricult (contag)
CULTURA,['DCT DIREITO CONSTITUCIONAL'],,,,"['ATIVIDADE CULTURAL', 'DIREITO À CULTURA', 'ESTATUTO DO MUSEU', 'MUSEU', 'ORDEM SOCIAL', 'POLÍTICA NACIONAL DE CULTURA VIVA']",,,cult
DIREITO À CULTURA,['DCT DIREITO CONSTITUCIONAL'],,,DIREITO,"['ATIVIDADE CULTURAL', 'CULTURA', 'POLÍTICA NACIONAL DE CULTURA VIVA']",,,direit a cult
DIREITO DE ACESSO À CULTURA,['DCT DIREITO CONSTITUCIONAL'],,,,,,,direit de acess a cult
INTERCÂMBIO CULTURAL,['NOC NOMES COMUNS'],,,,,,,intercambi cult
MANIFESTAÇÃO CULTURAL,['NOC NOMES COMUNS'],"

NOTA
Ato de expressão de uma tradição cultural.
",,MANIFESTAÇÃO,['TRADIÇÃO CULTURAL'],,,manifest cult
MINISTÉRIO DA AGRICULTURA,['INS INSTITUIÇÕES'],,,,,,MINISTÉRIO DA AGRICULTURA (MAGR),minist da agricult
MINISTÉRIO DA AGRICULTURA (MAGR),['INS INSTITUIÇÕES'],,,,"['MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO']",MAGR,,minist da agricult (magr)
"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",['INS INSTITUIÇÕES'],"

NOTA
""Art. 13.  Os Ministérios são os seguintes: I - da Agricultura, Pecuária e Abastecimento (...)"" (Lei nº 9.649, de 1998, art.13, na redação dada pela Medida Provisória nº 2.216-37, de 2001
",,,['MINISTÉRIO DA AGRICULTURA (MAGR)'],MAGR,,"minist da agricultura, pecuar e abastec"
"ORGANIZAÇÃO DAS NAÇÕES UNIDAS PARA A EDUCAÇÃO, A CIÊNCIA E A CULTURA (UNESCO)",['INS INSTITUIÇÕES'],"

NOTA
É um organismo especializada das Nações Unidas, que tem o objetivo de contribuir para a paz e a segurança no mundo, mediante o desenvolvimento da edução, ciência, cultura e comunicações.
",,,['ORGANIZAÇÃO DAS NAÇÕES UNIDAS (ONU)'],"ORGANIZAÇÃO DAS NAÇÕES UNIDAS PARA A EDUCAÇÃO, A CIÊNCIA E A CULTURA",,"organiz da naca unid par a educacao, a cienc e a cult (unesco)"
PATRIMÔNIO CULTURAL,['DAD DIREITO ADMINISTRATIVO'],,,PATRIMÔNIO SOCIAL,"['IMÓVEL TOMBADO', 'PATRIMÔNIO ARTÍSTICO', 'PATRIMÔNIO HISTÓRICO-CULTURAL', 'TOMBAMENTO']",,,patrimoni cult
PATRIMÔNIO HISTÓRICO-CULTURAL,"['DAD DIREITO ADMINISTRATIVO', 'DCT DIREITO CONSTITUCIONAL']","

NOTA

",,PATRIMÔNIO HISTÓRICO,"['CRIME DE DANO', 'IMÓVEL TOMBADO', 'PATRIMÔNIO CULTURAL', 'TOMBAMENTO']",,,patrimoni historico-cult
POLÍTICA NACIONAL DE CULTURA VIVA,['DAD DIREITO ADMINISTRATIVO'],"

NOTA
Lei 13.018/2014
",,,"['ATIVIDADE CULTURAL', 'CULTURA', 'DIREITO À CULTURA']",,,polit nacion de cult viv
TRADIÇÃO CULTURAL,['NOC NOMES COMUNS'],"

NOTA
Herança cultural de um povo, que se expressa por meio de lendas, ritos, usos, costumes, crenças, técnicas etc, que são transmitidos de uma geração para outra.
",,,"['FARRA DO BOI', 'MANIFESTAÇÃO CULTURAL', 'VAQUEJADA']",,,trad cult
DECORO PARLAMENTAR,['DCT DIREITO CONSTITUCIONAL'],,,,"['FALTA GRAVE (DIREITO ADMINISTRATIVO)', 'PARLAMENTAR']",,,decor parlament
QUEBRA DE DECORO PARLAMENTAR,['DCT DIREITO CONSTITUCIONAL'],,,,"['FALTA GRAVE (DIREITO ADMINISTRATIVO)', 'PARLAMENTAR']",,,quebr de decor parlament
DECRETO,['DCT DIREITO CONSTITUCIONAL'],,DECRETO AUTÔNOMO,ATO NORMATIVO,"['AB-ROGAÇÃO', 'INSTRUÇÃO NORMATIVA', 'PODER EXECUTIVO', 'TRANCAMENTO DA PAUTA']",,,decret
DECRETO ABSOLUTÓRIO,"['DPC DIREITO PROCESSUAL CIVIL', 'DPP DIREITO PROCESSUAL PENAL']",,,,,,SENTENÇA ABSOLUTÓRIA,decret absolutori
DECRETO AUTÔNOMO,"['DAD DIREITO ADMINISTRATIVO', 'DCT DIREITO CONSTITUCIONAL']",,,DECRETO,"['AÇÃO DECLARATÓRIA DE CONSTITUCIONALIDADE', 'AÇÃO DIRETA DE INCONSTITUCIONALIDADE', 'LEI EM SENTIDO FORMAL', 'PRESIDENTE DA REPÚBLICA']",,,decret auton
DECRETO CAUTELAR,"['DPC DIREITO PROCESSUAL CIVIL', 'DPP DIREITO PROCESSUAL PENAL']",,,,,,MEDIDA CAUTELAR,decret cautel
DECRETO CONDENATÓRIO,"['DPC DIREITO PROCESSUAL CIVIL', 'DPP DIREITO PROCESSUAL PENAL']",,,,,,SENTENÇA CONDENATÓRIA,decret condenatori
DECRETO DE EXPULSÃO,"['DCT DIREITO CONSTITUCIONAL', 'DIN DIREITO INTERNACIONAL']",,,DECRETO,['EXPULSÃO DE ESTRANGEIRO'],,,decret de expuls
DECRETO ESTADUAL,['DCT DIREITO CONSTITUCIONAL'],,,DECRETO,['LEGISLAÇÃO ESTADUAL'],,,decret estad
DECRETO EXECUTIVO,['DCT DIREITO CONSTITUCIONAL'],,,DECRETO,,,,decret execu
DECRETO EXPROPRIATÓRIO,['DCT DIREITO CONSTITUCIONAL'],,,DECRETO,"['DESAPROPRIAÇÃO', 'IMÓVEL RURAL']",,,decret expropriatori
DECRETO FEDERAL,['DCT DIREITO CONSTITUCIONAL'],,,DECRETO,"['DECRETO PRESIDENCIAL', 'LEGISLAÇÃO FEDERAL']",,,decret feder
DECRETO INTERVENTIVO,['DCT DIREITO CONSTITUCIONAL'],,,DECRETO,,,,decret interven
DECRETO JUDICIÁRIO,['DCT DIREITO CONSTITUCIONAL'],,,DECRETO,,,,decret judici
DECRETO LEGISLATIVO,['DCT DIREITO CONSTITUCIONAL'],,,ATO NORMATIVO PRIMÁRIO,,,,decret legisl
DECRETO MUNICIPAL,['DCT DIREITO CONSTITUCIONAL'],,,DECRETO,['LEGISLAÇÃO MUNICIPAL'],,,decret municip
DECRETO NORMATIVO,['DCT DIREITO CONSTITUCIONAL'],,,DECRETO,['DECRETO REGULAMENTAR'],,,decret norm
DECRETO REGULAMENTAR,['DCT DIREITO CONSTITUCIONAL'],,,DECRETO,"['DECRETO NORMATIVO', 'PODER REGULAMENTAR']",,,decret regulament
DECRETO-LEI,['DCT DIREITO CONSTITUCIONAL'],,,DECRETO,['LEI'],,,decreto-l
DEFICIÊNCIA AUDITIVA,"['DAD DIREITO ADMINISTRATIVO', 'DCT DIREITO CONSTITUCIONAL', 'DIC DIREITO CIVIL']","

NOTA
Perda auditiva bilateral, parcial ou total, de quarenta e um decibéis (dB) ou mais, aferida por audiograma nas freqüências de 500HZ, 1.000HZ, 2.000Hz e 3.000Hz (Art. 4°, II, do Decreto 3.298/99.
",,,['SURDEZ UNILATERAL'],SURDEZ,,defici audi
DELEGAÇÃO DE COMPETÊNCIA,['DCT DIREITO CONSTITUCIONAL'],,,,"['DELEGAÇÃO DE PODER', 'DELEGAÇÃO LEGISLATIVA']",,,deleg de compet
DELEGAÇÃO DE PODER,['DCT DIREITO CONSTITUCIONAL'],,,,"['DELEGAÇÃO DE ASSINATURA', 'DELEGAÇÃO DE COMPETÊNCIA', 'LEGITIMIDADE POPULAR']",,,deleg de pod
DELEGAÇÃO LEGISLATIVA,['DCT DIREITO CONSTITUCIONAL'],,,,"['DELEGAÇÃO DE COMPETÊNCIA', 'PODER LEGISLATIVO']",,,deleg legisl
DEMOCRACIA,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Forma de governo em que há participação dos cidadãos.
",DEMOCRACIA CONSTITUCIONAL,REGIME DE GOVERNO,"['CONSTITUIÇÃO FEDERAL', 'DEMOCRATIZAÇÃO', 'ESTADO DEMOCRÁTICO DE DIREITO', 'PRINCÍPIO DEMOCRÁTICO', 'PRINCÍPIO REPUBLICANO', 'SISTEMA REPRESENTATIVO', 'SOBERANIA POPULAR']",REGIME DEMOCRÁTICO,,democrac
DEMOCRACIA CONSTITUCIONAL,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Consagra a separação e a harmonia entre os Poderes, onde, ao invés da superioridade de um Poder ou o protagonismo judiciário, teríamos o diálogo constante entre os Poderes e o protagonismo da sociedade.
",,DEMOCRACIA,['SUPREMACIA JUDICIAL'],,,democrac constituc
DEMOCRACIA DELIBERATIVA,['DCT DIREITO CONSTITUCIONAL'],,,,,,DEMOCRACIA PARTICIPATIVA,democrac deliber
DEMOCRACIA DIRETA,['DCT DIREITO CONSTITUCIONAL'],,,DEMOCRACIA,,,,democrac diret
DEMOCRACIA PARTICIPATIVA,['DCT DIREITO CONSTITUCIONAL'],,,DEMOCRACIA,,DEMOCRACIA DELIBERATIVA,,democrac particip
DEMOCRACIA REPRESENTATIVA,['DCT DIREITO CONSTITUCIONAL'],,,DEMOCRACIA,,,,democrac represent
DEMOCRATIZAÇÃO,['DCT DIREITO CONSTITUCIONAL'],,,,"['DEMOCRACIA', 'ENSINO PÚBLICO']",,,democr
DEPORTAÇÃO,"['DCT DIREITO CONSTITUCIONAL', 'DIN DIREITO INTERNACIONAL']",,,,"['BANIMENTO', 'ESTRANGEIRO', 'EXPULSÃO DE ESTRANGEIRO']",,,deport
DEPUTADO,"['DCT DIREITO CONSTITUCIONAL', 'DEL DIREITO ELEITORAL']",,DEPUTADO DISTRITAL,AGENTE POLÍTICO,"['EX-DEPUTADO', 'PODER LEGISLATIVO']",,,deput
DEPUTADO DISTRITAL,"['DCT DIREITO CONSTITUCIONAL', 'DEL DIREITO ELEITORAL']",,,DEPUTADO,['PODER LEGISLATIVO DISTRITAL'],,,deput distrit
DEPUTADO ESTADUAL,"['DCT DIREITO CONSTITUCIONAL', 'DEL DIREITO ELEITORAL']",,,DEPUTADO,"['ASSEMBLEIA LEGISLATIVA', 'LEGISLADOR ESTADUAL', 'PODER LEGISLATIVO ESTADUAL']",,,deput estad
DEPUTADO FEDERAL,"['DCT DIREITO CONSTITUCIONAL', 'DEL DIREITO ELEITORAL']",,,DEPUTADO,"['CONVOCAÇÃO EXTRAORDINÁRIA', 'LEGISLADOR FEDERAL', 'PENSÃO PARLAMENTAR']",,,deput feder
EX-DEPUTADO,['DCT DIREITO CONSTITUCIONAL'],,,EX-PARLAMENTAR,['DEPUTADO'],,,ex-deput
AÇÃO DE DESAPROPRIAÇÃO,['DPC DIREITO PROCESSUAL CIVIL'],,,,['DESAPROPRIAÇÃO'],,,aca de desapropri
DESAPROPRIAÇÃO,"['DAD DIREITO ADMINISTRATIVO', 'DAG DIREITO AGRÁRIO', 'DCT DIREITO CONSTITUCIONAL']","

NOTA
Veja art. 5º, inciso XXIV, art. 182 e art. 184 da Constituição Federal.
A desapropriação é um procedimento administrativo pelo qual o poder
 público ou seus delegados, mediante prévia declaração de utilidade pública
 ou interesse social, impõe ao proprietário a perda de um bem, substituindo
 por justa indenização. É forma originária de aquisição da propriedade, pois
 não prevê nenhum título anterior
",DESAPROPRIAÇÃO INDIRETA,INTERVENÇÃO NA PROPRIEDADE,"['AÇÃO DE DESAPROPRIAÇÃO', 'ÁREA PARTICULAR', 'ASSENTAMENTO RURAL', 'CORREÇÃO MONETÁRIA', 'DECRETO EXPROPRIATÓRIO', 'DESAPROPRIADO', 'DESAPROPRIANTE', 'FUNÇÃO SOCIAL', 'FUNÇÃO SOCIAL DA PROPRIEDADE', 'FUNÇÃO SOCIAL DA PROPRIEDADE RURAL', 'FUNÇÃO SOCIAL DA PROPRIEDADE URBANA', 'GLEBA', 'GRANDE PROPRIEDADE RURAL', 'IMISSÃO PROVISÓRIA NA POSSE', 'IMÓVEL', 'IMÓVEL SEM EDIFICAÇÃO', 'INTERESSE SOCIAL', 'LAUDO AGRONÔMICO DE FISCALIZAÇÃO (LAF)', 'LAUDO TÉCNICO', 'LEI DE RESPONSABILIDADE FISCAL', 'MÉDIA PROPRIEDADE RURAL', 'MÓDULO FISCAL', 'NOTIFICAÇÃO', 'POLÍTICA AGRÍCOLA', 'PREÇO JUSTO', 'PRÉDIO', 'PRINCÍPIO DA PRÉVIA E JUSTA INDENIZAÇÃO', 'PRODUTIVIDADE', 'PROJETO AGRÍCOLA', 'PROJETO TÉCNICO', 'TERRENO RESERVADO', 'UTILIDADE PÚBLICA', 'VALOR ECONÔMICO', 'VISTORIA', 'ZONA RURAL', 'ZONA URBANA']",DESAPROPRIAÇÃO DIRETA,,desapropri
DESAPROPRIAÇÃO DIRETA,"['DAD DIREITO ADMINISTRATIVO', 'DAG DIREITO AGRÁRIO', 'DCT DIREITO CONSTITUCIONAL']",,,,,,DESAPROPRIAÇÃO,desapropri diret
DESAPROPRIAÇÃO INDIRETA,"['DAD DIREITO ADMINISTRATIVO', 'DAG DIREITO AGRÁRIO']","

NOTA
Desapropriação de fato, operada mediante o apossamento unilateral, pela
Administração Pública, de bem pertencente a particular.
(HORCAIO, Ivan. Dicionário Jurídico. São Paulo: Primeira Impressão,  2008.
p. 590).
",,DESAPROPRIAÇÃO,['PRINCÍPIO DA PRÉVIA E JUSTA INDENIZAÇÃO'],EXPROPRIAÇÃO INDIRETA,,desapropri indiret
DESAPROPRIAÇÃO POR INTERESSE SOCIAL,['DAD DIREITO ADMINISTRATIVO'],,,DESAPROPRIAÇÃO,,,,desapropri por inter soc
DESAPROPRIAÇÃO POR INTERESSE SOCIAL PARA FINS DE REFORMA AGRÁRIA,['DAD DIREITO ADMINISTRATIVO'],"

NOTA
Art. 184. Compete à União desapropriar por interesse social, para fins de 
reforma agrária, o imóvel rural que não esteja cumprindo sua função social,
mediante prévia e justa indenização em títulos da dívida agrária, com
cláusula de preservação do valor real, resgatáveis no prazo de até vinte
anos, a partir do segundo ano de sua emissão, e cuja utilização será 
definida em lei.
(Constituição Federal de 1988).
",,DESAPROPRIAÇÃO,"['AÇÃO REIVINDICATÓRIA', 'BENFEITORIA NECESSÁRIA', 'BENFEITORIA ÚTIL', 'ESBULHO POSSESSÓRIO', 'HONORÁRIOS ADVOCATÍCIOS', 'INDENIZAÇÃO EM DINHEIRO', 'NOTIFICAÇÃO', 'PRINCÍPIO DA PRÉVIA E JUSTA INDENIZAÇÃO', 'TERRA NUA', 'TÍTULO DA DÍVIDA AGRÁRIA (TDA)', 'UTILIZAÇÃO ADEQUADA', 'VISTORIA']",,,desapropri por inter soc par fim de reform agrar
PROCEDIMENTO DE DESAPROPRIAÇÃO,"['DAD DIREITO ADMINISTRATIVO', 'DAG DIREITO AGRÁRIO', 'DCT DIREITO CONSTITUCIONAL']",,,,,,DESAPROPRIAÇÃO,proced de desapropri
DESENVOLVIMENTO NACIONAL,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
CF/1988: ""Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil: Art. 3º Constituem objetivos fundamentais da República Federativa do Brasil: II - garantir o desenvolvimento nacional
",,,['PRINCÍPIO CONSTITUCIONAL'],,,desenvolv nacion
DEVER CONSTITUCIONAL,['DCT DIREITO CONSTITUCIONAL'],,,DEVER,['DEVER FUNDAMENTAL'],,,dev constituc
DEVER DE EVITAR RISCOS,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Dever que autoriza o Estado a atuar com objetivo de evitar riscos para o cidadão em geral mediante a adoção de medidas de proteção ou de prevenção especialmente em relação ao desenvolvimento técnico ou tecnológico. (MENDES; COELHO; BRANCO, 2007)
",,DEVER DE PROTEÇÃO,,,,dev de evit risc
DEVER DE PROTEÇÃO,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
(...) Outra importante consequência da dimensão objetiva dos direitos fundamentais está em ensejar um dever de proteção pelo Estado dos direitos fundamentais contra agressões dos próprios Poderes Públicos, provindas de particulares ou de outros Estados. (MENDES; COELHO; BRANCO, 2007)
",DEVER DE EVITAR RISCOS,DEVER,"['DIMENSÃO SUBJETIVA DOS DIREITOS FUNDAMENTAIS', 'MANDADO DE CRIMINALIZAÇÃO', 'TEORIA DOS DEVERES DE PROTEÇÃO']",,,dev de protec
DEVER DE SEGURANÇA,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Dever do Estado de proteger o indivíduo contra ataques de terceiros mediante a adoção de medidas diversas. (MENDES; COELHO; BRANCO, 2007)
",,DEVER DE PROTEÇÃO,,,,dev de seguranc
DEVER FUNDAMENTAL,['DCT DIREITO CONSTITUCIONAL'],,,DEVER,"['DEVER CONSTITUCIONAL', 'DEVER FUNCIONAL', 'DEVER LEGAL', 'DIREITO FUNDAMENTAL']",,,dev fundament
DIÁLOGO INSTITUCIONAL,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Teoria que sustenta que o Poder Judiciário não pode ser o intérprete final do ordenamento jurídico, sendo necessário o debate público com as Casas Legislativas que podem promulgar novas leis para superarem a decisão judicial. Isso porque o Judiciário não teria capacidade institucional para decidir assuntos técnicos e avaliar os efeitos sistêmicos de suas decisões.
",,,['SUPREMACIA JUDICIAL'],,,dialog instituc
DIMENSÃO OBJETIVA DOS DIREITOS FUNDAMENTAIS,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Usar para expressar a teoria de que os direitos fundamentais são também decisões valorativas de cunho objetivo da Constituição, que têm eficácia sobre todo o direito positivo, de modo a orientar o exercício das funções legislativa, administrativa e judiciária.
",,,['DIMENSÃO SUBJETIVA DOS DIREITOS FUNDAMENTAIS'],,,dimens obje do direit fundament
DIMENSÃO SUBJETIVA DOS DIREITOS FUNDAMENTAIS,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Corresponde à característica desses direitos de, em maior ou em menor escala, ensejarem uma pretensão a que se adote um dado comportamento ou então essa dimensão se expressa no poder da vontade de produzir efeitos sobre certas relações jurídicas. (MENDES; COELHO; BRANCO, 2007)
",,,"['DEVER DE PROTEÇÃO', 'DIMENSÃO OBJETIVA DOS DIREITOS FUNDAMENTAIS']",,,dimens subje do direit fundament
DIREITO À ASSISTÊNCIA AOS DESAMPARADOS,['DCT DIREITO CONSTITUCIONAL'],,,DIREITO,,,,direit a assist ao desampar
DIREITO À ASSISTÊNCIA SOCIAL,['DCT DIREITO CONSTITUCIONAL'],,,DIREITO,['IDOSO'],,,direit a assist soc
DIREITO À AUTODETERMINAÇÃO INFORMATIVA,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Direito fundamental que proporciona controle ao indivíduo  sobre o armazenamento e uso de informações a seu respeito. (Danilo Doneda)
",,DIREITO,"['DIREITO À INFORMAÇÃO', 'DIREITO À PRIVACIDADE']",,,direit a autodetermin inform
DIREITO À EDUCAÇÃO,['DCT DIREITO CONSTITUCIONAL'],,,DIREITO,['EDUCAÇÃO'],,,direit a educ
DIREITO À HERANÇA,['DCT DIREITO CONSTITUCIONAL'],,,DIREITO,,DIREITO DE HERANÇA,,direit a heranc
DIREITO À IGUALDADE,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Veja art. 5º, ""caput"", da Constituição Federal
",,DIREITO,,,,direit a igualdad
DIREITO À IMAGEM,['DCT DIREITO CONSTITUCIONAL'],,,DIREITO,['ANONIMATO'],,,direit a imag
DIREITO À INFORMAÇÃO,['DCT DIREITO CONSTITUCIONAL'],,DIREITO DE INFORMAR,DIREITO,"['ACESSO À INFORMAÇÃO', 'BIOGRAFIA', 'DIREITO À AUTODETERMINAÇÃO INFORMATIVA', 'HABEAS DATA', 'LIBERDADE DE EXPRESSÃO']",DIREITO DE INFORMAÇÃO,,direit a inform
DIREITO À LIVRE ASSOCIAÇÃO SINDICAL,"['DCT DIREITO CONSTITUCIONAL', 'DTB DIREITO TRABALHISTA']",,,DIREITO,['LIBERDADE DE ASSOCIAÇÃO'],,,direit a livr associ sindic
DIREITO À PREVIDÊNCIA SOCIAL,['DCT DIREITO CONSTITUCIONAL'],,,DIREITO,['PREVIDÊNCIA SOCIAL'],,,direit a previd soc
DIREITO À SAÚDE,['DCT DIREITO CONSTITUCIONAL'],,,DIREITO,,,,direit a saud
DIREITO À SEGURANÇA,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Veja art. 5º ""caput"" da Constituição Federal
",,DIREITO,,,,direit a seguranc
DIREITO ABSOLUTO,['DCT DIREITO CONSTITUCIONAL'],,,,['NORMA JURÍDICA'],,,direit absolut
DIREITO ADQUIRIDO,['DCT DIREITO CONSTITUCIONAL'],,,,"['ATO JURÍDICO PERFEITO', 'COISA JULGADA', 'EXPECTATIVA DE DIREITO', 'FUNDAMENTO DIVERSO', 'GARANTIA DO DIREITO ADQUIRIDO']",,,direit adquir
GARANTIA DO DIREITO ADQUIRIDO,['DCT DIREITO CONSTITUCIONAL'],,,GARANTIA CONSTITUCIONAL,['DIREITO ADQUIRIDO'],,,garant do direit adquir
DIREITO AO ESQUECIMENTO,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Direito de impermitir que um fato, ainda que verídico, ocorrido em determinado momento da vida de uma pessoa, seja exposto publicamente.
",,,"['DIREITO À HONRA', 'DIREITO À INTIMIDADE', 'DIREITO À VIDA PRIVADA']",DIREITO DE ESTAR SÓ,,direit ao esquec
DIREITO AO LAZER,['DCT DIREITO CONSTITUCIONAL'],,,,,,,direit ao laz
DIREITO AO SILÊNCIO,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
CF/1988: ""Art. 5°, LXIII - o preso será informado de seus direitos, entre os quais o de permanecer calado, sendo-lhe assegurada a assistência da família e de advogado;
",,DIREITO INDIVIDUAL,"['ADVERTÊNCIA', 'AUTODEFESA', 'AUTOINCRIMINAÇÃO']",DIREITO DE FICAR CALADO,,direit ao silenci
DIREITO COLETIVO,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Ver artigo 81, II, da Lei 8.078/1990.
",DIREITO À INFORMAÇÃO,DIREITO FUNDAMENTAL,"['AÇÃO CIVIL PÚBLICA', 'AÇÃO COLETIVA', 'ACORDO COLETIVO DE TRABALHO', 'CONVENÇÃO COLETIVA DE TRABALHO', 'INTERESSE COLETIVO', 'NEGOCIAÇÃO COLETIVA']",,,direit cole
DIREITO CONSTITUCIONAL,['DCT DIREITO CONSTITUCIONAL'],,,DIREITO (CIÊNCIA JURÍDICA),"['CONSTITUIÇÃO FEDERAL', 'MATÉRIA CONSTITUCIONAL', 'SEGURANÇA DE DIREITOS']",,,direit constituc
DIREITO DA PESSOA COM DEFICIÊNCIA,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
1. Lei 13.146/2015: ""Art. 14.  O processo de habilitação e de reabilitação é um direito da pessoa com deficiência.""

2. Lei 13.146/2015: ""Art. 27.  A educação constitui direito da pessoa com deficiência, assegurados sistema educacional inclusivo em todos os níveis e aprendizado ao longo de toda a vida, de forma a alcançar o máximo desenvolvimento possível de seus talentos e habilidades físicas, sensoriais, intelectuais e sociais, segundo suas características, interesses e necessidades de aprendizagem.""
",,,"['DEFICIÊNCIA FÍSICA', 'PESSOA COM DEFICIÊNCIA FÍSICA', 'PESSOA COM DEFICIÊNCIA MENTAL']",DIREITO DO PORTADOR DE DEFICIÊNCIA,,direit da pesso com defici
DIREITO DAS MINORIAS,['DCT DIREITO CONSTITUCIONAL'],,,,"['AÇÃO AFIRMATIVA', 'DISCRIMINAÇÃO SEXUAL', 'FUNÇÃO CONTRAMAJORITÁRIA', 'HOMOSSEXUAL', 'ÍNDIO', 'MINORIA', 'MULHER']",,,direit da minor
DIREITO DE AÇÃO,"['DCT DIREITO CONSTITUCIONAL', 'DIC DIREITO CIVIL']",,,DIREITO SUBJETIVO,['DIREITO DE POSTULAR EM JUÍZO'],,,direit de aca
DIREITO DE CERTIDÃO,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Veja art. 5º, inciso XXXIV, letra ""b"", da Constituição Federal
",,,['CERTIDÃO'],,,direit de cert
DIREITO DE CRÍTICA,['DCT DIREITO CONSTITUCIONAL'],,,DIREITO SUBJETIVO,,,,direit de crit
DIREITO DE EMITIR OPINIÃO,['DCT DIREITO CONSTITUCIONAL'],,,LIBERDADE DE EXPRESSÃO,,,,direit de emit opin
DIREITO DE EXERCÍCIO DE QUALQUER PROFISSÃO,['DCT DIREITO CONSTITUCIONAL'],"

NOTA
Veja art. 5º,  inciso XIII, da Constituição Federal
",,,,,,direit de exercici de qualqu profiss
DIREITO DE EXPRESSÃO,['DCT DIREITO CONSTITUCIONAL'],,,DIREITO SUBJETIVO,,,,direit de express
DIREITO DE GREVE,"['DCT DIREITO CONSTITUCIONAL', 'DTB DIREITO TRABALHISTA']","

NOTA
Suspensão coletiva, temporária e pacífica, total ou parcial, de prestação pessoal de serviços a empregador (Artigo 2° da Lei 7783/89
",,DIREITO DO TRABALHADOR,"['GREVE', 'LEI DE GREVE', 'SERVIÇO PÚBLICO ESSENCIAL']",,,direit de grev
